"Parameter","DF","Estimate","Standard error","Wald Chi-Square","Pr > ChiSq"
"Intercept","1","1.3931","0.3216","18.7670","<0.0001"
"RealEstate","1","−2.1282","0.3450","38.0529","<0.0001"
"Portion","1","−2.9875","0.5393","30.6898","<0.0001"
"Recession","1","0.5041","0.2412","4.3679","0.0366"
