" ","Default","Paid in full"
"Loans Back by Real Estate (Term ≥240 months)","2472 (1.64%)","147,868 (98.36%)"
"Loans Not Backed by Real Estate (Term <240 months)","153,876 (21.16%)","573,212 (78.84%)"
